step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
83,,扫描,measure,3,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1457.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
84,,扫描,measure,4,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1463.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
85,,扫描,measure,5,-1200.0,1.4695761589768238e-13,found,found,750.1838350339033,450.0014771384455,0.0,0.0,1,5.0,6.0,1469.0,direction,1.1,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
86,,扫描,measure,6,-1200.0,1.4695761589768238e-13,found,found,212.19673796620634,212.19673796620634,0.0,0.0,1,5.0,6.0,1475.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
87,,扫描,measure,7,-1200.0,1.4695761589768238e-13,found,found,301.58404806588464,301.58404806588464,0.0,0.0,1,5.0,6.0,1481.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
88,,扫描,measure,8,-1200.0,1.4695761589768238e-13,found,found,300.1423994778553,300.1423994778553,0.0,0.0,1,5.0,6.0,1487.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
89,,扫描,measure,9,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1493.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,8,12,0,0
90,,扫描,measure,10,-1200.0,1.4695761589768238e-13,unknown,found,,105.03231230685249,0.0,0.0,1,5.0,6.0,1499.0,direction,0.12,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,7,13,0,0
91,,扫描,measure,11,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1505.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,7,13,0,0
92,,扫描,measure,12,-1200.0,1.4695761589768238e-13,found,found,750.2085944135711,105.03231235642907,0.0,0.0,1,5.0,6.0,1511.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,7,13,0,0
93,,扫描,measure,13,-1200.0,1.4695761589768238e-13,unknown,found,,300.18196014611135,0.0,0.0,1,5.0,6.0,1517.0,direction,180.99,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,6,14,0,0
94,,扫描,measure,14,-1200.0,1.4695761589768238e-13,found,found,170.5903318168089,170.5903318168089,0.0,0.0,1,5.0,6.0,1523.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,6,14,0,0
95,,扫描,measure,15,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1529.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,6,14,0,0
96,,扫描,measure,16,-1200.0,1.4695761589768238e-13,found,found,472.88454204668346,472.88454204668346,0.0,0.0,1,5.0,6.0,1535.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,6,14,0,0
97,,扫描,measure,17,-1200.0,1.4695761589768238e-13,found,found,750.2231719760648,105.03231230685236,0.0,0.0,1,5.0,6.0,1541.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,6,14,0,0
98,,扫描,measure,18,-1200.0,1.4695761589768238e-13,found,found,750.1813417494274,147.6218637585368,0.0,0.0,1,5.0,6.0,1547.0,direction,358.52,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,6,14,0,0
99,,扫描,measure,19,-1200.0,1.4695761589768238e-13,unknown,found,,105.0323123068523,0.0,0.0,1,5.0,6.0,1553.0,direction,2.38,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
100,,扫描,measure,20,-1200.0,1.4695761589768238e-13,found,found,750.188277976263,105.03231230685242,0.0,0.0,1,5.0,6.0,1559.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
101,,扫描,measure,1,-600.0000000000006,-1039.2304845413262,found,found,275.00025671275654,275.00025671275654,1199.9999999999998,239.99999999999994,1,5.0,245.99999999999994,1805.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
102,,扫描,measure,2,-600.0000000000006,-1039.2304845413262,found,found,300.1035223623528,300.1035223623528,0.0,0.0,1,5.0,6.0,1811.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
103,,扫描,measure,3,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1817.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
104,,扫描,measure,4,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1823.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
105,,扫描,measure,5,-600.0000000000006,-1039.2304845413262,found,found,450.0014771384455,450.0014771384455,0.0,0.0,1,5.0,6.0,1829.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
106,,扫描,measure,6,-600.0000000000006,-1039.2304845413262,found,found,212.19673796620634,212.19673796620634,0.0,0.0,1,5.0,6.0,1835.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
107,,扫描,measure,7,-600.0000000000006,-1039.2304845413262,found,found,301.58404806588464,301.58404806588464,0.0,0.0,1,5.0,6.0,1841.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
108,,扫描,measure,8,-600.0000000000006,-1039.2304845413262,found,found,300.1423994778553,300.1423994778553,0.0,0.0,1,5.0,6.0,1847.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
109,,扫描,measure,9,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1853.0,no_signal,,fixed_scan,按固定扫描任务检测；清除/排除频道及已足够小的区域会在任务生成时跳过,5,15,0,0
